symptoms,disease,icd10_code,severity,medication
chest pain;shortness of breath;dizziness,Acute Pericarditis,I30.0,2,Colchicine
chest pain;shortness of breath;palpitations,Supraventricular Tachycardia,I47.1,2,Adenosine
dizziness;fainting;chest pain,Orthostatic Hypotension,I95.1,2,Fludrocortisone
shortness of breath;fatigue;swelling,Diastolic Heart Failure,I50.30,3,Valsartan
chest pain;shortness of breath;irregular heartbeat,Ventricular Fibrillation,I49.01,3,Defibrillation
dizziness;fainting;chest pain,Carotid Sinus Hypersensitivity,G90.0,2,Pacemaker insertion
chest pain;shortness of breath;dizziness,Aortic Dissection,I71.00,3,Esmolol
fatigue;shortness of breath;swelling,Cardiac Cachexia,R64,3,Nutritional support
jaundice;fever;abdominal pain,Hepatitis C,B17.10,3,Sofosbuvir/Velpatasvir
abdominal swelling;fatigue;nausea,Ascites,R18,2,Furosemide
confusion;personality changes;slurred speech,Hepatic Encephalopathy,K72.91,3,Lactulose
right upper quadrant pain;fever;nausea,Liver Abscess,K75.0,2,Metronidazole
fatigue;abdominal pain;jaundice,Hemochromatosis,E83.110,2,Phlebotomy
fatigue;weakness;loss of appetite,Hepatocellular Carcinoma,C22.0,3,Sorafenib
jaundice;dark urine;pale stools,Biliary Obstruction,K83.1,2,Endoscopic stent placement
abdominal pain;fever;jaundice,Liver Fluke Infection,B66,2,Praziquantel
fatigue;itching;jaundice,Primary Sclerosing Cholangitis,K83.01,3,Ursodeoxycholic acid
nausea;vomiting;abdominal pain,Budd-Chiari Syndrome,I82.0,3,Anticoagulation
jaundice;fatigue;abdominal pain,Autoimmune Hepatitis,K75.4,2,Prednisone
fatigue;weight loss;abdominal swelling,Liver Metastases,C78.7,3,Chemotherapy
jaundice;fatigue;loss of appetite,Drug-Induced Hepatitis,K71,2,Discontinuation of offending drug
abdominal pain;nausea;vomiting,Hepatic Cyst,Q44.6,1,Observation
fatigue;weakness;jaundice,Wilson's Disease,E83.01,2,Penicillamine
jaundice;fever;abdominal pain,Leptospirosis,A27,2,Doxycycline
fatigue;loss of appetite;jaundice,Chronic Active Hepatitis,K73.2,3,Prednisone
jaundice;fatigue;abdominal pain,Gilbert's Syndrome,E80.4,1,No treatment needed
abdominal pain;fever;jaundice,Clonorchiasis,B66.1,2,Praziquantel
fatigue;weakness;jaundice,Alpha-1 Antitrypsin Deficiency,E88.01,2,Augmentation therapy
right upper quadrant pain;fever;jaundice,Acute Cholecystitis,K81.0,2,Piperacillin-tazobactam
abdominal pain;fever;jaundice,Fascioliasis,B66.3,2,Triclabendazole
fatigue;weakness;loss of appetite,Hepatic Adenoma,D13.4,2,Surgical resection
abdominal pain;nausea;vomiting,Porcelain Gallbladder,K82.8,2,Cholecystectomy
fatigue;weakness;jaundice,Reye's Syndrome,G93.7,3,Supportive care
right upper quadrant pain;fever;nausea,Amoebic Liver Abscess,A06.4,2,Metronidazole
jaundice;fatigue;abdominal pain,Dubin-Johnson Syndrome,E80.6,1,No specific treatment
fatigue;weakness;loss of appetite,Hepatic Hemangioma,D18.09,1,Observation
jaundice;fever;abdominal pain,Weil's Disease,A27.0,3,Penicillin G
abdominal pain;nausea;vomiting,Choledocholithiasis,K80.5,2,Endoscopic retrograde cholangiopancreatography
fatigue;weakness;jaundice,Hepatic Veno-Occlusive Disease,K76.5,3,Defibrotide
abdominal pain;nausea;vomiting,Gastritis,K29,2,Omeprazole
abdominal pain;bloating;constipation,Chronic Constipation,K59.00,2,Polyethylene glycol
abdominal pain;nausea;vomiting,Peptic Ulcer,K27,2,Pantoprazole
abdominal pain;weight loss;fatigue,Stomach Cancer,C16,3,Fluorouracil
nausea;vomiting;diarrhea,Norovirus Infection,A08.1,2,Ondansetron
nausea;vomiting;abdominal pain,Pyloric Stenosis,K31.1,3,Surgical correction
nausea;vomiting;abdominal pain,Hyperemesis Gravidarum,O21.0,2,Ondansetron
abdominal pain;bloody stools;tenesmus,Dysentery,A06.0,2,Metronidazole
abdominal pain;bloating;diarrhea,Lactose Intolerance,E73,1,Lactase enzyme supplements
nausea;vomiting;abdominal pain,Gastric Volvulus,K31.89,3,Surgical correction
abdominal pain;diarrhea;fever,Campylobacter Infection,A04.5,2,Azithromycin
abdominal pain;nausea;vomiting,Gastric Outlet Obstruction,K31.5,3,Nasogastric decompression
abdominal pain;bloating;diarrhea,Fructose Malabsorption,E74.1,1,Low-fructose diet
abdominal pain;nausea;vomiting,Mesenteric Ischemia,K55.0,3,Heparin
nausea;vomiting;abdominal pain,Dumping Syndrome,K91.1,2,Acarbose
abdominal pain;diarrhea;fever,Yersiniosis,A04.6,2,Doxycycline
abdominal pain;nausea;vomiting,Chronic Mesenteric Ischemia,K55.1,2,Aspirin
nausea;vomiting;abdominal pain,Rumination Syndrome,F98.21,2,Behavioral therapy
abdominal pain;bloating;diarrhea,Microscopic Colitis,K52.83,2,Budesonide
abdominal pain;diarrhea;fever,Cryptosporidiosis,A07.2,2,Nitazoxanide
abdominal pain;nausea;vomiting,Eosinophilic Gastroenteritis,K52.81,2,Prednisone
dizziness;vertigo;balance problems,Vestibular Neuritis,H81.2,2,Prednisone
headache;confusion;drowsiness,Encephalitis,G04,3,Acyclovir
anxiety;panic attacks;irrational fears,Anxiety Disorders,F41,2,Sertraline
memory loss;confusion;language problems,Vascular Dementia,F01,3,Memantine
headache;nausea;light sensitivity,Cluster Headache,G44.0,2,Sumatriptan
tics;obsessive thoughts;compulsive behaviors,Tourette Syndrome,F95.2,2,Haloperidol
memory loss;confusion;motor difficulties,Huntington's Disease,G10,3,Tetrabenazine
loss of consciousness;confusion;headache,Concussion,S06.0X,2,Rest and monitoring
memory loss;confusion;gait disturbance,Normal Pressure Hydrocephalus,G91.2,2,Ventriculoperitoneal shunt
headache;neck pain;vision problems,Chiari Malformation,Q07.0,2,Decompression surgery
loss of smell;memory problems;sleep disorders,Mild Cognitive Impairment,G31.84,1,Cholinesterase inhibitors
headache;vision changes;seizures,Brain Abscess,G06.0,3,Ceftriaxone and Metronidazole
memory loss;confusion;hallucinations,Creutzfeldt-Jakob Disease,A81.0,3,Supportive care
headache;confusion;personality changes,Brain Aneurysm,I67.1,3,Surgical clipping
confusion;personality changes;movement problems,Wernicke-Korsakoff Syndrome,E51.2,3,Thiamine
headache;dizziness;cognitive issues,Post-Concussion Syndrome,F07.81,2,Amitriptyline
memory loss;confusion;difficulty speaking,Primary Progressive Aphasia,G31.01,2,Speech therapy
headache;neck stiffness;photophobia,Subarachnoid Hemorrhage,I60,3,Nimodipine
confusion;memory loss;personality changes,Chronic Traumatic Encephalopathy,G94,3,Supportive care
abdominal pain;weight loss;oily stools,Chronic Pancreatitis,K86.1,3,Pancrelipase
abdominal pain;fever;nausea,Pancreatic Pseudocyst,K86.3,2,Endoscopic drainage
abdominal pain;nausea;fever,Pancreatic Abscess,K85.8,3,Piperacillin-tazobactam
abdominal pain;weight loss;diarrhea,Pancreatic Exocrine Insufficiency,K86.81,2,Pancreatic enzyme replacement therapy
abdominal pain;jaundice;fever,Pancreatic Ascites,K86.8,2,Octreotide
abdominal pain;weight loss;jaundice,Ampullary Carcinoma,C24.1,3,Gemcitabine/Cisplatin
nausea;vomiting;abdominal pain,Pancreatic Divisum,Q45.3,2,Endoscopic sphincterotomy
abdominal pain;diarrhea;flushing,Pancreatic Neuroendocrine Tumor,C25.4,3,Octreotide
abdominal pain;back pain;weight loss,Pancreatic Cyst,D13.6,2,Endoscopic ultrasound-guided aspiration
abdominal pain;nausea;vomiting,Pancreatic Trauma,S36.20,3,Surgical repair
abdominal pain;nausea;vomiting,Annular Pancreas,Q45.1,2,Surgical correction
abdominal pain;weight loss;jaundice,Acinar Cell Carcinoma of Pancreas,C25.8,3,FOLFIRINOX chemotherapy
abdominal pain;nausea;vomiting,Pancreatic Arteriovenous Malformation,Q27.8,2,Endovascular embolization
abdominal pain;fever;nausea,Pancreatic Ascariasis,B77.8,2,Albendazole
increased thirst;frequent urination;fatigue,Neonatal Diabetes,P70.2,3,Insulin
abdominal pain;jaundice;fever,Choledochal Cyst,Q44.4,2,Surgical excision
increased thirst;frequent urination;fatigue,Steroid-Induced Diabetes,E13.9,2,Insulin
abdominal pain;weight loss;jaundice,Pancreatic Lymphoma,C85.8,3,R-CHOP chemotherapy
abdominal pain;nausea;vomiting,Pancreatic Tuberculosis,A18.83,2,Anti-tubercular therapy
abdominal pain;weight loss;diarrhea,Glucagonoma,E16.3,3,Octreotide
abdominal pain;nausea;vomiting,Pancreatic Arterial Aneurysm,I72.8,3,Endovascular coiling
diarrhea;abdominal cramps;nausea,Giardiasis,A07.1,2,Metronidazole
abdominal pain;nausea;vomiting,Intussusception,K56.1,3,Surgical reduction
rectal bleeding;constipation;abdominal pain,Anal Fissure,K60.2,1,Nitroglycerin ointment
rectal pain;bleeding;itching,Hemorrhoids,K64,1,Hydrocortisone cream
bloody diarrhea;abdominal cramps;fever,Enterohemorrhagic E. coli,A04.3,2,Supportive care
abdominal pain;nausea;vomiting,Meckel's Diverticulum,Q43.0,2,Surgical resection
rectal bleeding;tenesmus;diarrhea,Proctitis,K62.89,2,Mesalamine suppositories
abdominal pain;constipation;bloating,Hirschsprung's Disease,Q43.1,3,Surgical correction
abdominal pain;nausea;vomiting,Intestinal Volvulus,K56.2,3,Surgical correction
diarrhea;abdominal pain;weight loss,Protein-Losing Enteropathy,K90.4,2,Albumin infusion
rectal pain;discharge;fever,Perianal Abscess,K61.0,2,Incision and drainage
abdominal pain;diarrhea;joint pain,Enteropathic Arthritis,M07.5,2,Sulfasalazine
rectal bleeding;mucus discharge;tenesmus,Rectal Prolapse,K62.3,2,Surgical repair
diarrhea;abdominal pain;fever,Clostridium Difficile Infection,A04.7,2,Vancomycin
abdominal pain;nausea;vomiting,Intestinal Adhesions,K66.0,2,Surgical lysis
diarrhea;abdominal pain;weight loss,Intestinal Lymphoma,C85.9,3,CHOP chemotherapy
rectal pain;bleeding;constipation,Solitary Rectal Ulcer Syndrome,K62.6,1,Sucralfate enemas
diarrhea;abdominal pain;flatulence,Sucrase-Isomaltase Deficiency,E74.3,1,Sucraid enzyme replacement
rectal bleeding;diarrhea;abdominal pain,Radiation Proctitis,K62.7,2,Sucralfate enemas
abdominal pain;fatigue;easy bruising,Splenic Rupture,S36.00,3,Splenectomy
abdominal fullness;fatigue;anemia,Splenomegaly,R16.1,2,Treat underlying cause
left upper quadrant pain;fever;chills,Splenic Abscess,D73.3,3,Antibiotics
abdominal pain;fever;weight loss,Splenic Tuberculosis,A18.85,2,Anti-tubercular therapy
fatigue;easy bruising;recurrent infections,Asplenia,D73.0,3,Prophylactic antibiotics
left upper quadrant pain;nausea;vomiting,Splenic Infarction,I75.89,2,Anticoagulation
fatigue;pallor;shortness of breath,Hypersplenism,D73.1,2,Splenectomy
abdominal pain;fever;fatigue,Splenic Sarcoidosis,D86.89,2,Corticosteroids
left upper quadrant pain;fever;fatigue,Splenic Vein Thrombosis,I81,2,Anticoagulation
abdominal pain;fever;weight loss,Splenic Hydatid Cyst,B67.8,2,Albendazole
fatigue;easy bruising;petechiae,Idiopathic Thrombocytopenic Purpura,D69.3,2,Prednisone
abdominal pain;fever;chills,Splenic Candidiasis,B37.8,2,Fluconazole
abdominal fullness;fatigue;anemia,Gaucher Disease,E75.22,2,Enzyme replacement therapy
left upper quadrant pain;fever;nausea,Perisplenitis,D73.89,2,Nonsteroidal anti-inflammatory drugs
fatigue;pallor;jaundice,Hereditary Spherocytosis,D58.0,2,Splenectomy
abdominal pain;fever;night sweats,Splenic Metastasis,C78.89,3,Chemotherapy
fatigue;easy bruising;frequent infections,Congenital Asplenia,Q89.01,3,Prophylactic antibiotics
abdominal pain;fever;weight loss,Splenic Amyloidosis,E85.9,2,Treat underlying cause
left upper quadrant pain;fever;fatigue,Splenic Artery Thrombosis,I74.8,2,Anticoagulation
fatigue;pallor;shortness of breath,Thalassemia Major,D56.1,3,Blood transfusions
abdominal pain;fever;night sweats,Splenic Marginal Zone Lymphoma,C83.0,2,Rituximab
left upper quadrant pain;fever;nausea,Splenic Flexure Syndrome,K58.9,1,Antispasmodics
fatigue;easy bruising;splenomegaly,Hairy Cell Leukemia,C91.4,2,Cladribine
abdominal pain;fever;chills,Splenic Actinomycosis,A42.9,2,Penicillin
left upper quadrant pain;fever;fatigue,Splenic Pseudocyst,D73.4,2,Percutaneous drainage
fatigue;pallor;jaundice,Sickle Cell Disease,D57,3,Hydroxyurea
left upper quadrant pain;fever;chills,Splenic Cryptococcosis,B45.9,2,Amphotericin B
fatigue;easy bruising;splenomegaly,Chronic Myeloid Leukemia,C92.1,2,Imatinib
abdominal pain;fever;weight loss,Splenic Histoplasmosis,B39.4,2,Itraconazole
abdominal pain;fever;night sweats,Splenic Hodgkin's Lymphoma,C81.9,3,ABVD chemotherapy
fatigue;easy bruising;splenomegaly,Polycythemia Vera,D45,2,Hydroxyurea
abdominal pain;fever;chills,Splenic Nocardiosis,A43.9,2,Trimethoprim-sulfamethoxazole
left upper quadrant pain;fever;nausea,Wandering Spleen,Q89.09,2,Splenopexy
fatigue;pallor;jaundice,Pyruvate Kinase Deficiency,D55.2,2,Splenectomy
abdominal pain;fever;night sweats,Splenic Myelofibrosis,D47.4,2,Ruxolitinib
left upper quadrant pain;fever;chills,Splenic Brucellosis,A23.9,2,Doxycycline and rifampin
fatigue;easy bruising;splenomegaly,Essential Thrombocythemia,D47.3,2,Anagrelide
abdominal pain;fever;weight loss,Splenic Schistosomiasis,B65.9,2,Praziquantel
left upper quadrant pain;fever;fatigue,Splenic Arteriovenous Fistula,Q27.33,2,Endovascular embolization
right upper quadrant pain;nausea;vomiting,Cholelithiasis,K80.20,2,Ursodeoxycholic acid
abdominal pain;jaundice;dark urine,Choledocholithiasis,K80.50,2,Endoscopic retrograde cholangiopancreatography
right upper quadrant pain;nausea;vomiting,Gallbladder Polyps,K82.4,1,Cholecystectomy
abdominal pain;jaundice;pale stools,Biliary Atresia,Q44.2,3,Kasai procedure
abdominal pain;jaundice;weight loss,Klatskin Tumor,C24.0,3,Gemcitabine/Cisplatin
right upper quadrant pain;bloating;nausea,Sphincter of Oddi Dysfunction,K83.8,2,Botulinum toxin injection
right upper quadrant pain;fever;chills,Gallbladder Perforation,K82.2,3,Emergency cholecystectomy
right upper quadrant pain;bloating;nausea,Postcholecystectomy Syndrome,K91.5,2,Antispasmodics
abdominal pain;jaundice;weight loss,Bile Duct Cancer,C24.9,3,Gemcitabine/Cisplatin
right upper quadrant pain;nausea;fever,Gallstone Ileus,K56.3,3,Enterolithotomy
abdominal pain;jaundice;itching,Secondary Biliary Cirrhosis,K74.4,3,Ursodeoxycholic acid
right upper quadrant pain;fever;jaundice,Gallbladder Mucocele,K82.1,2,Cholecystectomy
right upper quadrant pain;nausea;vomiting,Gallbladder Duplication,Q44.1,1,Observation
abdominal pain;jaundice;weight loss,Cystic Duct Cancer,C24.8,3,Radical cholecystectomy
right upper quadrant pain;nausea;vomiting,Gallbladder Agenesis,Q44.0,1,Supportive care
right upper quadrant pain;fever;chills,Parasitic Biliary Infection,B66.8,2,Praziquantel
blood in urine;pain while urinating;pelvic pain,Bladder Cancer,C67,3,Bacillus Calmette-Guerin
frequent urination;urgency;incontinence,Overactive Bladder,N32.81,2,Oxybutynin
pain while urinating;pelvic pain;frequent urination,Interstitial Cystitis,N30.10,2,Pentosan polysulfate sodium
difficulty urinating;weak stream;incomplete emptying,Benign Prostatic Hyperplasia,N40,2,Tamsulosin
blood in urine;pelvic pain;frequent urination,Bladder Stones,N21.0,2,Lithotripsy
frequent urination;nocturia;weak stream,Neurogenic Bladder,N31.9,2,Bethanechol
pain while urinating;lower abdominal pain;fever,Acute Cystitis,N30.00,2,Trimethoprim-sulfamethoxazole
urinary retention;overflow incontinence;abdominal pain,Urinary Retention,R33.9,3,Catheterization
frequent urination;urgency;pelvic pain,Radiation Cystitis,N30.4,2,Pentosan polysulfate sodium
difficulty urinating;pain in perineum;frequent urination,Prostatitis,N41.9,2,Doxycycline
urinary incontinence;pelvic pressure;frequent urination,Pelvic Organ Prolapse,N81.9,2,Pelvic floor exercises
blood in urine;fatigue;weight loss,Schistosomiasis,B65.0,2,Praziquantel
pain while urinating;lower abdominal pain;cloudy urine,Bladder Diverticulum,N32.3,2,Surgical repair
urinary retention;difficulty urinating;pelvic pain,Urethral Stricture,N35.9,2,Urethral dilation
blood in urine;pelvic pain;urinary frequency,Bladder Endometriosis,N80.8,2,Leuprolide
frequent urination;urgency;nocturia,Nocturia,R35.1,1,Desmopressin
pain while urinating;lower abdominal pain;fever,Hemorrhagic Cystitis,N30.8,3,Mesna
urinary incontinence;pelvic pressure;frequent urination,Stress Incontinence,N39.3,2,Duloxetine
blood in urine;flank pain;fever,Renal Calculi,N20.0,2,Tamsulosin
frequent urination;urgency;pelvic pain,Bladder Neck Obstruction,N32.0,2,Alfuzosin
pain while urinating;lower abdominal pain;fever,Fournier's Gangrene,N49.3,3,Broad-spectrum antibiotics
frequent urination;urgency;incontinence,Mixed Incontinence,N39.46,2,Mirabegron
pain while urinating;lower abdominal pain;fever,Emphysematous Cystitis,N30.80,3,Piperacillin-tazobactam
urinary retention;overflow incontinence;abdominal pain,Cauda Equina Syndrome,G83.4,3,Surgical decompression
blood in urine;pelvic pain;frequent urination,Bladder Hemangioma,D30.3,2,Endoscopic resection
frequent urination;urgency;pelvic pain,Hunner's Lesions,N30.11,2,Triamcinolone injection
pain while urinating;lower abdominal pain;cloudy urine,Bladder Exstrophy,Q64.10,3,Surgical reconstruction
urinary incontinence;pelvic pressure;frequent urination,Urethral Diverticulum,N36.1,2,Surgical excision
blood in urine;fatigue;weight loss,Bladder Paraganglioma,D44.7,2,Surgical resection
frequent urination;urgency;incontinence,Giggle Incontinence,N39.45,1,Imipramine
urinary retention;difficulty urinating;pelvic pain,Posterior Urethral Valves,Q64.2,3,Endoscopic valve ablation
frequent urination;urgency;nocturia,Nocturnal Enuresis,N39.44,1,Desmopressin
urinary incontinence;pelvic pressure;frequent urination,Vesicovaginal Fistula,N82.0,2,Surgical repair
blood in urine;flank pain;fever,Ureteral Calculi,N20.1,2,Tamsulosin
urinary retention;difficulty urinating;pelvic pain,Detrusor-Sphincter Dyssynergia,N36.44,2,Botulinum toxin injection
heavy menstrual bleeding;pelvic pain;anemia,Uterine Fibroids,D25,2,Leuprolide
abnormal vaginal bleeding;pelvic pain;fatigue,Endometrial Cancer,C54,3,Carboplatin
pelvic pain;heavy periods;infertility,Endometriosis,N80,2,Dienogest
abnormal uterine bleeding;pelvic pain;cramping,Adenomyosis,N80.1,2,Tranexamic acid
pelvic pain;vaginal discharge;fever,Pelvic Inflammatory Disease,N73,2,Doxycycline
pelvic pressure;urinary frequency;constipation,Uterine Prolapse,N81.2,2,Pessary
abnormal vaginal bleeding;pelvic pain;cramping,Uterine Polyps,N84.0,1,Hysteroscopic polypectomy
heavy menstrual bleeding;fatigue;dizziness,Menorrhagia,N92.0,2,Tranexamic acid
pelvic pain;fever;abnormal vaginal discharge,Pyometra,N71.0,3,Ampicillin/Sulbactam
abnormal uterine bleeding;pelvic pain;fatigue,Uterine Sarcoma,C54.1,3,Docetaxel
severe menstrual cramps;heavy bleeding;back pain,Dysmenorrhea,N94.6,2,Ibuprofen
pelvic pain;abnormal bleeding;infertility,Asherman's Syndrome,N85.6,2,Hysteroscopic adhesiolysis
irregular periods;hot flashes;mood swings,Perimenopause,N95.1,1,Conjugated estrogens
pelvic pain;vaginal bleeding;cramping,Ectopic Pregnancy,O00,3,Methotrexate
abnormal vaginal bleeding;pelvic pain;fatigue,Gestational Trophoblastic Disease,O01,3,Methotrexate
pelvic pressure;urinary incontinence;back pain,Uterine Retroversion,N85.4,1,Pessary
pelvic pain;fever;foul-smelling discharge,Endometritis,N71.9,2,Clindamycin
irregular periods;pelvic pain;infertility,Uterine Septum,Q51.2,2,Hysteroscopic septum resection
abnormal vaginal bleeding;pelvic pain;fatigue,Choriocarcinoma,C58,3,Etoposide
irregular periods;pelvic pain;infertility,Unicornuate Uterus,Q51.4,2,Hormonal therapy
abnormal uterine bleeding;pelvic pain;cramping,Cervical Stenosis,N88.2,1,Cervical dilation
pelvic pressure;back pain;urinary frequency,Uterine Enlargement,N85.2,2,Gonadotropin-releasing hormone agonist
heavy menstrual bleeding;pelvic pain;anemia,Uterine Arteriovenous Fistula,I77.0,2,Uterine artery embolization
abnormal vaginal bleeding;pelvic pain;fatigue,Placental Site Trophoblastic Tumor,D39.2,3,Hysterectomy
pelvic pain;vaginal discharge;fever,Tubo-ovarian Abscess,N70.03,3,Ceftriaxone and Metronidazole
irregular periods;pelvic pain;infertility,Arcuate Uterus,Q51.810,1,Observation
abnormal uterine bleeding;pelvic pain;fatigue,Uterine Carcinosarcoma,C54.9,3,Ifosfamide and Paclitaxel
pelvic pain;heavy bleeding;cramping,Uterine Hyperplasia,N85.00,2,Progestin therapy
irregular periods;pelvic pain;infertility,Bicornuate Uterus,Q51.3,2,Metroplasty
pelvic pressure;urinary frequency;constipation,Cystocele,N81.10,2,Pessary
pelvic pain;fever;abnormal vaginal discharge,Retained Products of Conception,O73.1,2,Dilation and curettage
irregular periods;pelvic pain;infertility,T-shaped Uterus,Q51.818,2,Hysteroscopic metroplasty
pelvic pain;heavy bleeding;cramping,Adenomatoid Tumor of Uterus,D27.9,1,Surgical excision
irregular periods;pelvic pain;infertility,Uterus Didelphys,Q51.10,2,Observation
pelvic pressure;back pain;urinary frequency,Hematometra,N85.7,2,Cervical dilation
pelvic pain;nausea;vomiting,Ovarian Torsion,N83.51,3,Laparoscopic detorsion
pelvic pain;bloating;urinary frequency,Ovarian Cyst,N83.20,2,Oral contraceptives
irregular periods;hot flashes;night sweats,Premature Ovarian Failure,E28.31,2,Hormone replacement therapy
abdominal swelling;shortness of breath;weight loss,Ovarian Hyperstimulation Syndrome,N98.1,3,Cabergoline
lower abdominal pain;nausea;vomiting,Ruptured Ovarian Cyst,N83.201,2,Analgesics
irregular periods;hirsutism;acne,Congenital Adrenal Hyperplasia,E25.0,2,Hydrocortisone
pelvic pain;bloating;early satiety,Borderline Ovarian Tumor,D39.10,2,Surgical resection
infertility;irregular periods;pelvic pain,Ovarian Failure,E28.39,2,Clomiphene
irregular periods;breast tenderness;mood swings,Corpus Luteum Cyst,N83.1,1,Observation
pelvic pain;bloating;difficulty urinating,Ovarian Fibroma,D27,2,Surgical removal
abdominal pain;fever;nausea,Ovarian Remnant Syndrome,N94.89,2,Laparoscopic excision
irregular periods;excessive hair growth;acne,Hyperandrogenism,E28.1,2,Spironolactone
pelvic pain;bloating;back pain,Krukenberg Tumor,C79.6,3,Chemotherapy
infertility;irregular periods;galactorrhea,Hyperprolactinemia,E22.1,2,Bromocriptine
lower abdominal pain;fever;painful urination,Ovarian Tuberculosis,A18.17,2,Anti-tubercular therapy
abdominal swelling;weight gain;shortness of breath,Pseudomyxoma Peritonei,C78.6,3,Cytoreductive surgery
irregular periods;facial hair growth;hair loss,Ovarian Hyperthecosis,E28.8,2,Metformin
pelvic pain;fever;vaginal discharge,Hydrosalpinx,N70.11,2,Salpingectomy
lower abdominal pain;nausea;breast tenderness,Ovarian Pregnancy,O00.2,3,Methotrexate
abdominal pain;fever;nausea,Fitz-Hugh-Curtis Syndrome,N74,2,Doxycycline
irregular periods;fatigue;cold intolerance,Ovarian Hypothyroidism,E03.9,2,Levothyroxine
abdominal pain;nausea;vomiting,Ovarian Hypoplasia,Q50.39,2,Hormone replacement therapy
irregular periods;night sweats;vaginal dryness,Ovarian Atrophy,N95.8,2,Estradiol
pelvic pain;bloating;fever,Ovarian Actinomycosis,A42.81,2,Penicillin G
abdominal pain;nausea;vomiting,Massive Ovarian Edema,N83.8,2,Analgesics
testicular pain;swelling;redness,Orchitis,N45,2,Ibuprofen
painless testicular lump,Testicular Cancer,C62,3,Cisplatin
sudden severe testicular pain,Testicular Torsion,N44,3,Surgery
testicular atrophy;low testosterone,Klinefelter Syndrome,Q98.0,2,Testosterone replacement
scrotal swelling;heaviness,Hydrocele,N43.3,1,Surgical repair
painful testicular swelling;fever,Testicular Abscess,N45.2,3,Antibiotics
testicular pain;swelling;nausea,Testicular Trauma,S30.2,2,Ice packs
scrotal itching;rash,Scrotal Dermatitis,L29.1,1,Hydrocortisone cream
testicular shrinkage;infertility,Varicocele,I86.1,2,Varicocelectomy
painless scrotal mass,Spermatocele,N43.4,1,Observation
testicular pain;fever;nausea,Mumps Orchitis,B26.0,2,Analgesics
testicular swelling;tenderness,Testicular Cyst,N44.8,1,Aspiration
testicular discomfort;infertility,Cryptorchidism,Q53,2,Orchiopexy
testicular pain;abdominal pain,Inguinal Hernia,K40,2,Hernia repair surgery
testicular tenderness;urethral discharge,Gonorrhea,A54.2,2,Ceftriaxone
scrotal ulcers;lymph node swelling,Lymphogranuloma Venereum,A55,2,Doxycycline
testicular pain;lower back pain,Retroperitoneal Fibrosis,N13.5,2,Prednisone
scrotal swelling;fever;malaise,Filariasis,B74,2,Ivermectin
scrotal pain;urinary retention,Acute Prostatitis,N41.0,3,Levofloxacin
testicular hardening;infertility,Testicular Microlithiasis,N50.8,1,Monitoring
scrotal swelling;pain on urination,Chlamydia,A56.1,2,Azithromycin
scrotal redness;warmth;pain,Cellulitis,L03.3,2,Cephalexin
testicular pain;blood in semen,Seminal Vesiculitis,N49.0,2,Ciprofloxacin
scrotal swelling;fever;fatigue,Tuberculosis Orchitis,A18.1,3,Anti-tuberculosis drugs
testicular pain;lower abdominal pain,Chronic Pelvic Pain Syndrome,N41.1,2,Pregabalin
testicular shrinkage;erectile dysfunction,Testicular Atrophy,N50.0,2,Testosterone gel
scrotal itching;burning sensation,Tinea Cruris,B35.6,1,Clotrimazole cream
testicular discomfort;blood in urine,Testicular Infarction,N50.1,3,Anticoagulants
scrotal swelling;pain;nausea,Testicular Rupture,S39.94,3,Surgical exploration
scrotal masses;infertility,Testicular Dysgenesis Syndrome,Q55.8,2,Hormonal therapy
scrotal ulceration;inguinal lymphadenopathy,Chancroid,A57,2,Azithromycin
chest pain;difficulty swallowing,Esophageal Stricture,K22.2,2,Esophageal dilation
painful swallowing;chest pain,Esophagitis,K20,2,Pantoprazole
chest pain;fever;difficulty swallowing,Esophageal Perforation,K22.3,3,Antibiotics
heartburn;cough;hoarseness,Laryngopharyngeal Reflux,J39.2,2,Ranitidine
chest pain;reflux;regurgitation,Hiatal Hernia,K44,2,Famotidine
heartburn;chest pain;bitter taste,Barrett's Esophagus,K22.7,2,Esomeprazole
chest pain;difficulty swallowing;weight loss,Esophageal Ulcer,K22.1,2,Sucralfate
regurgitation;bad breath;chest pain,Zenker's Diverticulum,K22.5,2,Surgery
difficulty swallowing;coughing while eating,Tracheoesophageal Fistula,Q39.2,3,Surgical repair
chest pain;fever;difficulty swallowing,Candidal Esophagitis,B37.81,2,Fluconazole
difficulty swallowing;weight loss;coughing,Esophageal Stricture due to Radiation,K62.4,2,Esophageal stent
chest pain;fever;painful swallowing,Herpes Esophagitis,B00.81,2,Acyclovir
difficulty swallowing;chest pain;regurgitation,Esophageal Web,Q39.4,2,Endoscopic dilation
heartburn;cough;voice changes,Reflux Laryngitis,J37.0,2,Lansoprazole
regurgitation;chest pain;weight loss,Scleroderma Esophagus,M34.8,2,Metoclopramide
heartburn;chest pain;chronic cough,Nocturnal Gastroesophageal Reflux,K21.0,2,Dexlansoprazole
painful swallowing;fever;chest pain,Cytomegalovirus Esophagitis,B25.2,3,Ganciclovir
heartburn;chest pain;chronic hoarseness,Reflux-Induced Vocal Cord Dysfunction,J38.7,2,Rabeprazole
difficulty swallowing;chest pain;weight loss,Esophageal Stricture due to Caustic Injury,T28.6,3,Esophageal reconstruction
